"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Dec 03 19:04:19 CET 2023","Sun Dec 03 19:04:19 CET 2023","3","Regression tests","Process of registering cloud platform tests","tests.ProcessOfRegisteringCloudPlatformTests","tests.ProcessOfRegisteringCloudPlatformTests","beforeMethod","beforeMethod",""
"broken","Sun Dec 03 19:04:19 CET 2023","Sun Dec 03 19:04:19 CET 2023","50","Regression tests","Process of registering cloud platform tests","tests.ProcessOfRegisteringCloudPlatformTests","tests.ProcessOfRegisteringCloudPlatformTests","automateProcessOfRegisteringCloudPlatformPricingCalculator","automateProcessOfRegisteringCloudPlatformPricingCalculator","Process of registering cloud platform which is 'Compute Engine' with email price verification"
